"3341","test","4","Stile chiaro e scorrevole","4","Contenuti ben organizzati","5","Piacevole da leggere","4","Originale nei dettagli","4","Edizione curata","4.2","Un libro interessante e ben fatto"
"3497","test","3","Stile essenziale ma efficace","3","Informazioni utili ma limitate","4","Molto gradevole","3","Poco originale ma valido","3","Edizione semplice","3.2","Adatto per una lettura veloce"
"3690","test","5","Scrittura coinvolgente","5","Contenuti dettagliati e utili","4","Stimolante e apprezzabile","5","Innovativo nei temi trattati","4","Edizione ben fatta","4.6","Un libro che sorprende"
"3788","test","4","Stile chiaro e accattivante","4","Contenuti interessanti e utili","5","Piacevole e rilassante","4","Originale nei contenuti","4","Edizione di buona qualità","4.2","Una lettura piacevole"
"12744","test","3","Scrittura semplice ma efficace","4","Informazioni utili e pratiche","3","Gradevole nel complesso","3","Poco innovativo","3","Edizione discreta","3.2","Un'opzione accettabile"
"16428","test","4","Stile ben strutturato","4","Contenuti chiari e approfonditi","4","Piacevole e interessante","4","Originale e stimolante","4","Edizione curata","4.0","Un libro valido e interessante"
"39425","test","5","Stile dinamico e appassionante","5","Contenuti molto utili e chiari","5","Molto piacevole da leggere","5","Innovativo e unico","5","Edizione eccellente","5.0","Un'opera imperdibile"
"41274","test","4","Scrittura scorrevole e chiara","4","Informazioni utili e interessanti","4","Gradevole e stimolante","4","Originale nei dettagli","4","Edizione ben curata","4.0","Adatto a un pubblico variegato"
"50439","test","3","Stile semplice e diretto","3","Contenuti utili ma sintetici","4","Interessante e apprezzabile","3","Poco originale","3","Edizione discreta","3.2","Un'opzione per chi cerca semplicità"
"51787","test","5","Scrittura fluida e coinvolgente","5","Contenuti chiari e completi","5","Un libro molto piacevole","5","Innovativo nei contenuti","5","Edizione di alta qualità","5.0","Un capolavoro assoluto"
"52867","test","4","Stile chiaro e ben organizzato","4","Contenuti utili e ben esposti","4","Piacevole da leggere","4","Originale e interessante","4","Edizione curata","4.0","Un libro che vale la pena leggere"
"74256","test","3","Stile semplice ma efficace","4","Informazioni pratiche e utili","4","Gradevole nel complesso","3","Poco innovativo","4","Buona edizione","3.6","Una lettura soddisfacente"
"83678","test","5","Scrittura accattivante e ben strutturata","5","Contenuti molto dettagliati","5","Stimolante e interessante","5","Innovativo e originale","5","Edizione impeccabile","5.0","Un'opera consigliatissima"
"92428","test","4","Stile fluido e leggibile","4","Informazioni utili e pratiche","4","Molto piacevole da leggere","4","Originale nei dettagli","4","Edizione ben fatta","4.0","Un libro adatto a tutti"
"11284","test","3","Stile semplice e chiaro","3","Contenuti utili ma essenziali","3","Interessante ma poco stimolante","3","Poco originale","3","Edizione discreta","3.0","Adatto a chi cerca semplicità"
"34773","test","4","Scrittura fluida e scorrevole","4","Contenuti chiari e utili","4","Piacevole e interessante","4","Originale nei contenuti","4","Edizione ben curata","4.0","Una buona scelta per la lettura"
"44067","test","5","Stile accattivante e dinamico","5","Contenuti completi e dettagliati","5","Un libro molto gradevole","5","Innovativo e stimolante","5","Edizione eccellente","5.0","Un'opera imperdibile"
"57471","test","4","Scrittura scorrevole e chiara","4","Informazioni utili e ben spiegate","4","Gradevole e stimolante","4","Originale nei dettagli","4","Edizione ben fatta","4.0","Un libro valido per tutti"
"86562","test","3","Stile semplice ma leggibile","3","Contenuti utili ma limitati","3","Interessante ma non troppo originale","3","Poco innovativo","3","Edizione discreta","3.0","Adatto per una lettura veloce"
"54436","test","5","Scrittura fluida e coinvolgente","5","Contenuti dettagliati e utili","5","Stimolante e apprezzabile","5","Innovativo nei temi trattati","5","Edizione impeccabile","5.0","Un libro di altissimo livello"
"7277","test","5","Stile elegante e ben bilanciato","4","Contenuti completi e interessanti","4","Piacevole e leggibile","5","Molto creativo e originale","4","Edizione di alta qualità","4.4","Un libro consigliato a tutti"
"8475","test","4","Scrittura chiara e precisa","3","Informazioni utili ma sintetiche","4","Molto gradevole da leggere","4","Originale nei contenuti","4","Buona qualità dell'edizione","3.8","Una lettura che vale il tempo"
"32425","test","5","Stile dinamico e coinvolgente","5","Contenuti molto utili e dettagliati","4","Gradevole e stimolante","5","Un'opera davvero innovativa","5","Edizione curata e professionale","4.8","Un capolavoro del genere"
"48587","test","3","Stile semplice ma scorrevole","4","Informazioni utili e pratiche","4","Interessante e apprezzabile","4","Non molto innovativo ma valido","4","Edizione ben realizzata","3.8","Consigliato per lettori curiosi"
"67767","test","4","Stile chiaro e diretto","4","Contenuti utili e interessanti","5","Molto piacevole da leggere","4","Originale ma con margini di miglioramento","5","Edizione ben curata","4.4","Un libro adatto a tutti"
"77107","test","5","Scrittura fluida e accattivante","4","Informazioni molto dettagliate","5","Un libro molto piacevole","5","Innovativo e originale","5","Edizione eccellente","4.8","Un'opera che merita attenzione"
"90944","test","4","Stile moderno e leggibile","3","Contenuti utili ma sintetici","4","Interessante e piacevole","3","Non troppo innovativo","4","Buona edizione complessiva","3.6","Adatto a chi cerca semplicità"
"93513","test","5","Stile molto raffinato e accattivante","5","Contenuti utili e chiari","5","Piacevole e stimolante","5","Innovativo e unico nel suo genere","5","Edizione perfetta","5.0","Un libro che lascia il segno"
"95979","test","4","Scrittura chiara e ben strutturata","4","Informazioni utili e pratiche","4","Gradevole e interessante","5","Molto originale nei contenuti","4","Edizione di alta qualità","4.2","Un'opera da non perdere"
"101195","test","3","Stile semplice e diretto","4","Contenuti utili e approfonditi","4","Un libro interessante e piacevole","4","Poco innovativo ma valido","4","Buona qualità complessiva","3.8","Consigliato per approfondire"
"89363","test","4","Stile avvincente e coinvolgente","5","Contenuti dettagliati e chiari","3","Un libro piacevole da leggere","4","Originale con qualche spunto innovativo","5","Edizione ben realizzata e curata","4.2","Un'opera che merita attenzione"
"27203","test","5","Scrittura fluida e accattivante","3","Contenuti utili ma migliorabili","4","Piacevole e scorrevole","5","Idea creativa e originale","4","Edizione di buona qualità","4.2","Consigliato per chi ama il genere"
"45468","test","3","Stile semplice ma comprensibile","4","Contenuti utili per approfondire","5","Interessante e gradevole","3","Non troppo originale ma valido","4","Edizione curata e ben fatta","3.8","Una buona scelta per iniziare"
"50485","test","5","Stile molto elegante e curato","5","Informazioni approfondite e chiare","4","Un libro molto apprezzabile","4","Originalità nei contenuti","5","Edizione di alto livello","4.6","Un libro da non perdere"
"61704","test","4","Stile chiaro e diretto","4","Contenuti interessanti e utili","5","Piacevole e appassionante","4","Poco innovativo ma ben scritto","5","Edizione curata nei dettagli","4.4","Un'opera da consigliare"
"71982","test","3","Stile semplice e diretto","3","Informazioni utili ma basilari","4","Gradevole e ben scritto","4","Originale ma non troppo innovativo","4","Buona qualità dell'edizione","3.6","Un libro per chi cerca chiarezza"
"32563","test","5","Scrittura coinvolgente e dinamica","5","Contenuti completi e chiari","4","Un libro interessante e gradevole","4","Innovativo e originale","5","Edizione eccellente","4.6","Un'opera di grande valore"
"6385","test","4","Stile accattivante e moderno","4","Contenuti utili e ben strutturati","5","Molto piacevole da leggere","4","Non troppo originale ma valido","5","Edizione di ottimo livello","4.4","Un libro consigliato"
"24252","test","3","Stile semplice ma funzionale","3","Informazioni utili ma sintetiche","4","Un libro gradevole e interessante","3","Non troppo innovativo","4","Edizione curata e ben fatta","3.4","Buona scelta per approfondire"
"91695","test","5","Scrittura fluida e coinvolgente","4","Contenuti utili e approfonditi","4","Piacevole da leggere e apprezzare","5","Molto originale e creativo","5","Edizione di altissimo livello","4.6","Un'opera imperdibile"
"11016","test","3","","3","","4","","1","","4","","3.0",""
